[15:00:35][no_game_date][defines.cpp:270]: 4469 defines loaded
[15:01:25][no_game_date][gamestate.cpp:2841]: Loaded 13439 provinces.
[15:01:34][no_game_date][gameapplication.cpp:2969]: Resetting game
[15:01:35][1936.01.01.12][history.cpp:165]: Executing History from -1.1.1.1 to  2.1.1.1
[15:01:36][1936.01.01.12][history.cpp:165]: Executing History from 2.1.1.1 to  1936.1.1.12
[15:02:27][1936.01.01.12][frontend.cpp:682]: 

		[[ Launching SINGLEPLAYER-game ]]
	Start-date: 1936.1.1.12

[15:02:32][1936.01.01.12][ingameidler.cpp:5175]: Start RestoreDeviceObjects
[15:02:41][1936.01.01.12][ingameidler.cpp:5325]: End RestoreDeviceObjects
[15:02:41][1936.01.01.12][effectbase.cpp:1783]: Something went wrong with the Conflict Risk stuff
[15:02:41][1936.01.01.12][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|ADT|140|55|31
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|SWE|15|3|3
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|LUX|3|1|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|BEL|11|6|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|HOL|17|6|1
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|CZE|16|9|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|POL|18|9|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|AUS|12|3|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|LIT|5|2|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|EST|4|2|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|LAT|7|3|1
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|ROM|16|7|2
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|YUG|16|3|1
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|SWI|9|4|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|GRE|9|2|2
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|ALB|2|1|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|NOR|7|2|2
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|DEN|8|2|2
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|BUL|10|3|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|POR|9|2|3
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|IRE|8|1|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|HUN|10|7|0
[15:06:40][1936.02.01.01][effectbase.cpp:1799]: [15:06:40][1936.02.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 February, 1936|ETH|2|2|0
